time_ms,chat_message
1780570723084,ㄹㅇㅋㅋ
1780570723451,좋음
1780570725303,ㅇㅇ
1780570725338,ㄹㅇ
1780570725514,ㄹㅇㄹㅇ
1780570727288,좋지
1780570728735,내 친구 리센느
1780570729666,그렇긴해
1780570729930,캬
1780570731605,룩삼도
1780570732592,리센느는 잔
1780570734529,아니 그리고 실력들도 좋아 뜰만한 사람들이 뜬거야
1780570734596,ㄹㅇ
1780570734820,내 친구 공혁준
1780570735418,내친구 룩삼
1780570737155,좋지 ㄹㅇ
1780570737261,내친구
1780570737526,젠타양..
1780570738360,룩삼 ㅇㅇ
1780570738483,비와이 - 내친구심바
1780570739407,일단 우리는 이미 다 알던 사람들이니까
1780570740068,내친구 마젠타..
1780570740160,ㅋㅋㅋ
1780570740842,혁준씨
1780570741645,쵸단양..
1780570741694,내친구ㅋㅋㅋ
1780570744251,내 친구 심바는 나가라
1780570744344,를 저점매수한 김진효 & 치지직 ㄷㄷ
1780570745787,드디어 제대로된걸 하는구나
1780570746197,우리혁준씨도 언급해주세요
1780570748077,메오티
1780570748115,젠타양이 노래불러달랬는데 왜 안함
1780570748802,내친구 젠타...
1780570749040,리센느 초대석 기대해도 되는거야?
1780570750408,젠타양..
1780570750508,룩 하
1780570751147,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570752430,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570753161,알아보기 전에 얼굴도 본사이인데 5인 멤버의 이름 다 읊으실수잇죠? 들어볼래 mc 룩삼님?
1780570753864,ㅋㅋㅋㅋ
1780570753897,ㅋㅋㅋ
1780570754000,가장 먼저였지
1780570755657,"""혁준씨"""
1780570756039,공 혁
1780570756306,ㅇㅈ
1780570757094,ㅋㅋㅋㅋㅋㅋㅋ
1780570757183,ㅋㅋㅋㅋㅋㅋㅋ
1780570757827,ㅋㅋ
1780570758063,캬
1780570759075,축하합니다
1780570759149,혁준씨 ㄹㅇ
1780570759764,애국자반열
1780570760264,ㄹㅇ
1780570762505,말이 안돼
1780570763194,대산범
1780570763705,애가 둘이 된다니
1780570763910,혁준상
1780570763992,헉
1780570764006,제일 망할거같던 친구가
1780570765046,훗쨔
1780570765048,ㄱ-
1780570765626,헉
1780570766336,겠냐
1780570766830,쌈아 너도 니 주변사람들한테는 이미 양지 갔어 ㅋㅋ
1780570767061,서른언더에서 아이둘아빠
1780570768392,{:d_126:}
1780570768828,나도모름
1780570769218,혁준씨랑 요즘 연락함?
1780570769561,겠냐?
1780570770761,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570770804,ㅋㅋㅋ
1780570770944,ㅋㅋㅋㅋㅋ
1780570771302,룩공얍칸 중 공이 둘째? ㄹㅇ..
1780570771424,ㅋㅋㅋㅋㅋㅋㅋㅋ
1780570771508,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570771944,{:d_126:}{:d_126:}{:d_126:}
1780570772794,겠냐에요
1780570773076,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570773658,악 수
1780570773816,ㅋㅋㅋㅋㅋ
1780570774166,비릿
1780570774352,한사람이라도 알까
1780570774545,씨플가능
1780570775589,ㅋㅋㅋㅋ
1780570775594,음?
1780570776336,혁준씨도 룩삼을 그렇게 생각한다는거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570777232,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570778566,지금껏 만난 사람이 몇인데 어캐 외우겠삼~
1780570780827,보넥도 이름도 까먹었을듯
1780570781300,정말이지?
1780570783758,구너 ㅋㅋ
1780570784780,꾸대표
1780570785194,구너
1780570786120,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570786153,ㅋㅋㅋㅋㅋㅋㅋ
1780570786719,구너
1780570787611,ㅋㅋㅋㅋㅋㅋㅋ
1780570787639,ㄷㄷㄷ
1780570787677,ㅋㅋㅋㅋ
1780570788279,꾸꾸꾸
1780570790533,아스날
1780570791277,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570791288,대표님이 플레임 팬이라 하지 않았었나
1780570792488,주헌이햄
1780570794273,그 대표님이 보통사람이 아니던데 ㅋㅋㅋㅋㅋ
1780570795334,ㅋㅋㅋㅋㅋ
1780570796818,나이차이 별로 안나지 않나
1780570796838,아스날팬대표님
1780570797317,대표님 마갈량이스 리액션 보셨을듯
1780570797517,맞아 플레임 팬이라했어
1780570800555,대표님 플레임 팬이라고하던데 ㅋㅋ
1780570801492,꾸대표
1780570802498,아 루콰
1780570803810,여긴 대표님도 유명하던데ㅋㅋㅋㅋ
1780570805053,1살차이
1780570807811,시노종 ㄷㄷ
1780570810481,신호종
1780570810680,대표님도 애초에 아이돌 출신이시드만
1780570811070,니 마갈량 실축 리액션 본거 아닐까
1780570812919,추멘 ㄷㄷㄷ
1780570813130,이걸또 시노종
1780570815266,구너와 악수
1780570817017,대표님 선구안이 지리네
1780570817288,요줌 대표님 노력도 파묘 되던데 ㅋㅋㅋㅋ
1780570817712,이번에 유퀴즈도 나왔더만
1780570819285,대표 빠이팅 있더만
1780570819566,저도 덕분에 같이 알아볼수있겟네여 감사합니다
1780570820359,(진작 알아볼걸)
1780570823490,버클리 음대 출신 ㄷㄷ
1780570824012,쌈아 리센느 대표님 플레임한테도롤 컨텐츠 하자고 하다가 플레임이 이터널리턴으로 하자고했다가 ㄱ-...
1780570828283,악-수
1780570829150,오 이걸
1780570830472,초대석 나와다오
1780570831265,마갈량 리액션보고 초대석 끊겼다
1780570831403,물들어올때 노 같이 저어주기
1780570837083,룩하
1780570842930,ㅇㅇ
1780570844080,대표도 90년생이던데
1780570845652,?
1780570846582,?
1780570848468,?
1780570849864,??
1780570849909,룩 동 진
1780570850691,?
1780570850883,??
1780570850885,지구는 평평하다 책쓰죠 ㅇㅇ
1780570851797,룩삼의 평론
1780570852106,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570852446,가능하다
1780570852527,캬
1780570852868,다 까먹어서 못할듯
1780570852906,?
1780570854064,가사도 안쓰는놈이 글을요?
1780570854223,?
1780570854477,룩샷이횽
1780570855165,?
1780570855905,ㄹㅇ
1780570856436,뭔 근론가여
1780570857173,ㅋㅋㅋㅋ
1780570857734,일단 안경부터 빨간색으로바꿔
1780570857741,리센느!!
1780570858142,와 10년뒤면 45임?개처늙엇네
1780570858567,지구 평평론자임
1780570858666,그건 뭐 시간 지나보면 알겠지
1780570859228,평론가는 ㅋㅋㅋㅋ
1780570860391,지구평평설 책 써주세요
1780570860741,근데 ㄹㅇ 평론가 할지도 ㅋㅋ
1780570861614,룩동진
1780570861701,가사나 써라
1780570861786,글을 써야함 ㅋㅋ
1780570862162,평론?가? 글??
1780570862732,평론가는 글 잘 써야돼 쌈아
1780570863149,MT 아이돌 장같은거 어때?
1780570863564,뭐랭ㅎㅋㅋㅋㅋㅋ
1780570863707,이미 평론가잔아
1780570863842,룩삼님 노래 같은거 많이 들으시는데 쌍베님 처럼 음향장비 업그레드 같은거 생각있으시나요??
1780570863903,가사먼저써주세요
1780570864101,가사 한 줄 안 쓰는데 글을 쓰겄냐
1780570864591,기억을해야....
1780570864947,머중문화평론가 ㅋㅋㅋㅋ
1780570865679,하지만 가사는 절대로
1780570866450,지도 불가능한거 아니까 저래말함 ㅇㅇ
1780570866574,룩삼 3차진화 ㄷㄷ
1780570866628,평론가 - 입큰낙타
1780570866938,앨범나오면 너 룩삼평론 못봄?? 이런거에요 이제???
1780570866948,<<<< 월드컵 리센느 나올때마다 까먹는 사람
1780570867032,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570867173,팔짱을 껴야 평론가임
1780570867639,안경부터 빨간색으로 바꾸쇼
1780570868465,그러려면 음악을 ㅈㄴ게 들어야되는데
1780570869390,평평론가 하죠
1780570869642,글을 쓸줄 알아야 반열에 올라
1780570869645,안되는건 없지
1780570870315,이미 하고 있잖슴
1780570871795,룩하
1780570872055,평론가 오이데 오읻데
1780570872391,한대음 심사음원 가죠?
1780570874284,평론을 글로만 하라는 법은 없다
1780570874924,ㄹㅇㅋㅋㅋㅋ
1780570874956,?
1780570875103,ㅔ?
1780570875485,캬
1780570875524,?
1780570875945,헉
1780570876116,엄
1780570876484,?
1780570876494,ㅋㅋ 지랄
1780570877151,ㅋㅋㅋㅋㅋㅋㅋ
1780570877204,음?
1780570877621,아마추워
1780570877663,리센느 조회수 미쳤네 ㄷ
1780570877664,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780570877972,?
1780570878258,?
1780570878266,잘써요 (GPT)
1780570878418,걍 팟캐스트에서 말하면 됨 ㅋㅋㅋㅋ
1780570878548,안쓰는데 뭔
1780570878631,?
1780570879080,두줄
1780570879183,10년 뒤에도 가사는 없다
1780570879507,나는 아마추어다...
1780570879743,음…
1780570879799,?
1780570880011,글을 다 잘 써
1780570880548,밖은 아마추워
1780570880708,?
1780570881427,아마 추워....
1780570882284,개열받네
1780570882456,나는 아마 추워다
1780570882595,?
1780570883492,아마추워
1780570884599,넵
1780570885415,얼굴로 표현하는거 아니었어?
1780570885453,아마추워
1780570885834,가사는 그림이노?
1780570886022,안쓰는거잖어
1780570886408,Gpt한테 써달라해~~
1780570886421,<<<<<<<<<초저점에 리센느 만난사람
1780570886830,룩진모 레츠고
1780570887287,like 마편
1780570887453,쓴걸 보여주소..
1780570889150,베룩나룩 베룩베룩
1780570890163,써놓고 그런 말을 해야지
1780570891336,고봉밥 잘만드나요
1780570891621,밖은.. 아마.. 추워..
1780570893317,아마추워 ㄹㅇ 뒤통수 빡이긴 했음
1780570893334,아마추워는 인죵 ㅋㅋ
1780570894564,ㅋㅋㅋㅋㅋ
1780570895255,역전의 시말서
1780570895279,룩어로 평론함?
1780570895339,한양대선임가사써 현석이형처럼
1780570897167,예전에 휴방공지 보면 잘 쓰긴함
1780570897360,평론가 평론가 오이데
1780570897808,잘쓰긴해 쌈이
1780570898748,표현도 맨날 추상적으로 하잖아 ㅋㅋ
1780570899032,말 잘해서 방송하는거 아님?
1780570901253,글을?
1780570901422,상병 선임의 문을 연 김 룩삼
1780570901963,같이보기 후기 메모장에 쓰는거 보면 평가는 진짜 잘하실거 같긴 해요
1780570904218,휴방공지 GOAT
1780570906103,근데 가사는 왜
1780570906188,나는 아마추어다 읽고오셈 명필임
1780570908218,말하는 직업 ㄷㄷ
1780570909253,휴방공지도잘쓰긴해
1780570909370,표정은 ㅇㅈ
1780570909833,표정보다 글을 잘쓴다고?
1780570910070,되 돼부터 맞춰줘라 쌈아
1780570911045,표현도 비슷한 단어 반복하지 않나요
1780570912579,표정은 인죵
1780570914848,메모장에 글 잘씀
1780570915015,맞긴해
1780570916347,나는 아마추워다
1780570916351,리듬도 잘 타고요
1780570917765,악 수
1780570918040,에세이 ㄱ
1780570918643,메모장 ㅋㅋ
1780570920509,ㄹㅇ
1780570920941,악수
1780570921062,아마추워
